plz;strasse;nummer;bezeichnung;schlüssel nr;bemerkung;zweck;lon;lat;image
8330;Alemannenweg;7;Alemnannenweg 7;83;;Tiefgarage?;;;
8330;Alpenstrasse;1;Alpenstrasse 1;75;;Tiefgarage;8.7781257;47.3673966;Alpenstrasse 1.jpg
8330;Alpenstrasse;18;Alpenstrasse 18;91;;Schulhaus Obermatt;8.7769512;47.3679608;Alpenstrasse 18.jpg
8330;Angelstrasse;1.1;Angelstrasse 1a-7d;59;;Tiefgarage;8.7768372;47.3754336;
8330;Äussere Zelglistrasse;31;Äuss. Zelglistr. 31;20;;FW Zufahrt Hochstrasse?;8.7903847;47.3626258;Äussere Zelgistrasse 31.jpg
8330;Bachtelstrasse;33.1;;;nicht auffindbar im Schliessplan;Tiefgarage;8.790397;47.365642;Bachtelstrasse 2.1.jpg
8330;Bahnhofstrasse;7;Raiffeisenbank;7;;Gewerbe;8.7839175;47.3674075;Bahnhofstrasse 7.jpg
8330;Bahnhofstrasse;16;Clientis, Bahnhofstr.;61;;Gewerbe;8.7838209;47.3671735;Bahnhofstrasse 16.jpg
8330;Bahnhofstrasse;23;Silo;;nicht auffindbar im Schliessplan;Mehrfamilienhaus;8.786422;47.365772;Bahnhofstrasse 13.1.png
8330;Barzloostrasse;12;HABA;14;;Gewerbe;8.7676842;47.3704681;
8330;Barzloostrasse;1;Polygena Barzloo 1;22;;Gewerbe;8.7702546;47.3686028;Barzloostrasse 1.jpg
8330;Baumenstrasse;2.1;Baumenstr. 2-12;84;;Tiefgarage;8.789145;47.3618513;Baumenstrasse 2.1.jpg
8330;Berghaldenstrasse;13.1;Berghaldenstr. 13/15 17/19;107;;Tiefgarage;8.7943396;47.3740531;
8330;Bodenackerstrasse;30;Bodenackerstr. 30;77;;Tiefgarage?;;;
8330;Büelstrasse;19;Büelstrasse 19;122;;Tiefgarage;;;
8330;Büelstrasse;22;Büelstrasse 22;;nicht auffindbar im Schliessplan, Schlüssel passt nicht;Tiefgarage;8.7800206;47.3661506;
8330;Dorfstrasse;57;Dorfstrasse 57;89;;Tiefgarage?;;;
8330;Eichholzstrasse;38.2;Eichholzstr. 38-58;71;;Tiefgarage;8.7781316;47.3749229;Eichholzstrasse 38.2.jpg
8330;Frohwiesstrasse;7;Frohwiesstrasse 7+9;86;;Gewerbe und Wohnhaus;8.7825583;47.3676667;Frohwiesstrasse 7.jpg
