plz;strasse;nummer;egid;fläche;bemerkung;lon;lat;schlüsselrohr;baujahr
8330;Alemannenweg;7;210204635;214.95;Tiefgarage;8.797209;47.362973;ja;
8330;Alpenstrasse;1;210199362;354.19;Tiefgarage mit Alpenstrasse 5;8.7781257;47.3673966;ja;
8330;Angelstrasse;1.1;210231465;1021.26;Tiefgarage ohne Plan;8.7768372;47.3754336;ja;
8330;Bachtelstrasse;33.1;210192801;931.52;Tiefgarage;8.790397;47.365642;ja;
8330;Baumenstrasse;2.1;210215036;3112.84;Tiefgarage;8.789145;47.3618513;ja;
8330;Baumgartenstrasse;4.1;210183789;1765.78;Tiefgarage;8.795408;47.361467;ja;1975
8330;Baumgartenstrasse;5;-;759.85;Tiefgarage;8.795005;47.361918;nein;1984
8330;Berghaldenstrasse;13.1;210221862;994.25;Tiefgarage;8.7943396;47.3740531;ja;
8330;Bodenackerstrasse;30;210191112;135.22;Tiefgarage MFH;8.792147;47.375973;ja;
8330;Büelstrasse;19;88131;490.37;Tiefgarage MFH;8.779262;47.366253;ja;
8330;Dorfstrasse;57;87620;268.91;Tiefgarage;8.795426;47.363036;ja;
8330;Eichholzstrasse;38.2;210231467;766.6;Tiefgarage;8.7781316;47.3749229;ja;
8330;Hittnauerstrasse;1a;210222329;697;Tiefgarage;8.787276;47.3651461;ja;
8330;Hittnauerstrasse;27.1;210184543;363.95;Tiefgarage;8.792183;47.364847;nein;1993
8330;Hittnauerstrasse;28;210213821;229.11;Tiefgarage;8.791739;47.364321;ja;
8330;Hittnauerstrasse;32.1;210217340;594.4;Tiefgarage;8.791848;47.364063;ja;
8330;Hochstrasse;137;210231468;978.05;Tiefgarage;8.7931751;47.361049;ja;
8330;Hochstrasse;146.1;210184830;1396.18;Tiefgarage;8.793293;47.359946;nein;1971
8330;Hörnlistrasse;73.1;210186126;1450.48;Tiefgarage;8.7902026;47.3683253;ja;
8330;Hotzenweidstrasse;51.1;210183797;798.85;Tiefgarage;8.778838;47.373053;nein;1977
8330;Im Spitz;31.1;210184835;337.09;Tiefgarage;8.773813;47.366033;nein;1973
8330;Im Spitz;35.1;210184832;391.06;Tiefgarage;8.773538;47.365987;nein;1973
8330;Mattenstrasse;2.2;210184165;5824.18;Tiefgarage;8.775407;47.3703598;ja;
8330;Mettlenstrasse;14.1;210184029;1436.62;Tiefgarage;8.792997;47.362225;nein;1989
8330;Nussbaumstrasse;2.1;210231466;2831.35;Tiefgarage;8.7897828;47.3660184;ja;
8330;Obermattstrasse;30.2;210184401;1794.7;Tiefgarage;8.779503;47.367813;nein;1994
8330;Obermattstrasse;72.2;210184819;546.51;Tiefgarage;8.781749;47.370122;nein;1970
8330;Obermattstrasse;76.1;210184820;298.72;Tiefgarage;,8.781871;47.37009;nein;1970
8330;Oberwilerstrasse;2;210199355;303.93;Tiefgarage;8.796127;47.362953;ja;
8330;Pfaffbergstrasse;2+4;-;615.74;Tiefgarage;8.794859;47.365581;ja;
8330;Pfaffbergstrasse;6;210183835;430.39;Tiefgarage;8.79526;47.366378;nein;1967
8331;Pfäffikerstrasse;8.1;210184234;1683.24;Tiefgarage;8.8066607;47.3446165;ja;
8330;Stogelenweg;9.1;210231470;766.47;Tiefgarage Schellenberg;8.783515;47.363521;ja;
8330;Pilatusstrasse;8.1;210197131;3364.32;Tiefgarage;8.7839828;47.3641006;ja;
8330;Postgasse;7.1;210231469;319.77;Tiefgarage mit Autolift;8.7835904;47.3660431;ja;
8330;Rainstrasse;2.1;210184802;719.09;Tiefgarage;8.79668;47.366;nein;1970
8330;Rainstrasse;1.1;210231404;-;Tiefgarage;8.796255;47.365705;nein;1970
